Paddle Name,Company,"My Rank (S, A, B, C, D)",Price,Discount,Discount Code,Shape,Paddle Type,Spin Rating,Power Rating,Control Rating,Face Material,Core Thickness (mm),Handle Length (in),Grip Thickness,Weight (oz),Link to Paddle,Quiz Winner,Link to Long Review
Ronbus R3 Pulsar,Ronbus,A,$170.00,$20 Off,RCSLICE,Elongated,All Arounder,Very High,Very High,Medium,Raw Carbon Fiber,16,5.50,4.125,8.10,https://shorturl.at/cINO9,No,
Vatic Pro Alchemy (13.5 mm),Vactic Pro,C,$179.99,$10 Off,THESLICE,Elongated,Power,Very High,Very High,Medium,Raw Carbon Fiber,14,5.50,4.125,8.40,https://vaticpro.com/collections/paddles/products/alchemy?sca_ref=3900539.cSTEozYRgA,No,https://theslicepickleball.com/vatic-pro-alchemy-pickleball-paddle-review/
Vatic Pro Alchemy (16 mm),Vactic Pro,B,$179.99,$10 Off,THESLICE,Elongated,All Arounder,High,High,Medium,Raw Carbon Fiber,16,5.50,4.125,8.60,https://vaticpro.com/collections/paddles/products/alchemy?sca_ref=3900539.cSTEozYRgA,No,https://theslicepickleball.com/vatic-pro-alchemy-pickleball-paddle-review/
Vatic Pro Flash (14 mm),Vactic Pro,A,$139.99,$10 Off,THESLICE,Hybrid,All Arounder,Very High,Very High,Low,Raw Carbon Fiber,14,5.30,4.125,8.00,https://shorturl.at/hsCK0,No,https://theslicepickleball.com/vatic-pro-flash-pickleball-paddle-review/
Vatic Pro Flash (16 mm),Vactic Pro,A,$139.99,$10 Off,THESLICE,Hybrid,All Arounder,Very High,Very High,Medium,Raw Carbon Fiber,16,5.30,4.125,8.10,https://shorturl.at/hsCK0,No,https://theslicepickleball.com/vatic-pro-flash-pickleball-paddle-review/
Vatic Pro Prism Flash (14 mm),Vactic Pro,S,$99.99,$10 Off,THESLICE,Hybrid,All Arounder,Very High,Medium,Very High,Raw Carbon Fiber,14,5.30,4.125,7.80,https://shorturl.at/mBGTV,Yes,
Vatic Pro Prism Flash (16 mm),Vactic Pro,S,$99.99,$10 Off,THESLICE,Hybrid,Control,Very High,Medium,Very High,Raw Carbon Fiber,16,5.30,4.125,8.00,https://shorturl.at/mBGTV,Yes,
Vatic Pro Prism V7 (16 mm),Vactic Pro,A,$99.99,$10 Off,THESLICE,Elongated,Control,Very High,Very High,High,Raw Carbon Fiber,16,5.30,4.125,8.30,https://shorturl.at/fjBS3,No,
Vatic Pro V7 (16 mm),Vactic Pro,A,$139.99,$10 Off,THESLICE,Elongated,All Arounder,Very High,Very High,Medium,Raw Carbon Fiber,16,5.30,4.125,8.30,https://shorturl.at/fipR3,No,
Hudef Viva Pro Gen 2,Hudef,A,$129.99,15% Off,THESLICE,Elongated,All Arounder,Very High,Very High,Medium,Raw Carbon Fiber,16,5.50,4.125,8.10,https://shorturl.at/fhEP4,No,https://theslicepickleball.com/hudef-viva-pro-gen2-pickleball-paddle-review/
Hudef Viva Pro (14 mm),Hudef,B,$99.99,15% Off,THESLICE,Elongated,All Arounder,Very High,High,Medium,Raw Carbon Fiber,14,5.50,4.125,8.10,https://shorturl.at/opBJM,No,
Hudef Viva Pro (16 mm),Hudef,B,$99.99,15% Off,THESLICE,Elongated,All Arounder,Very High,High,Medium,Raw Carbon Fiber,16,5.50,4.125,8.10,https://shorturl.at/opBJM,No,
Hudef Apex Pro (14 mm),Hudef,S,$89.99,15% Off,THESLICE,Wide Body,Control,Very High,Medium,Very High,Raw Carbon Fiber,14,4.90,4.125,8.00,https://shorturl.at/DLNW2,Yes,
Hudef Apex Pro (16 mm),Hudef,S,$89.99,15% Off,THESLICE,Wide Body,Control,Very High,Medium,Very High,Raw Carbon Fiber,16,4.90,4.25,8.00,https://shorturl.at/DLNW2,Yes,
ACE Spade,ACE,A,$199.99,10% Off,THESLICE,Elongated,All Arounder,Very High,Medium,High,Raw Carbon Fiber,16,5.50,4.33,7.65,https://shorturl.at/vAEFU,No,https://theslicepickleball.com/ace-spade-pickleball-paddle-review/
ACE Club,ACE,A,$129.99,10% Off,THESLICE,Elongated,Power,Very High,High,Medium,Raw Carbon Fiber,16,5.30,4.25,8.10,https://shorturl.at/cjnq3,No,https://theslicepickleball.com/ace-club-pickleball-paddle-review/
ACE Diamond,ACE,A,$219.99,10% Off,THESLICE,Elongated,Power,Very High,Very High,Low,Raw Carbon Fiber,10,5.50,4.25,7.50,https://shorturl.at/jkqDK,No,
BALLR Pro,BALLR,B,$99.99,10% Off,THESLICE,Elongated,All Arounder,Very High,Medium,High,Raw Carbon Fiber,16,6.00,4.3,8.00,https://ballrpickleball.com/product/ballr-pro-paddle/?wpam_id=19,No,
VSF,11SIX24,A,$119.99,10% Off ,THESLICE,Elongated,All Arounder,Very High,High,Medium,Raw Carbon Fiber,16,5.30,4.125,8.20,https://shorturl.at/abdIT,No,
Hurache Control,11SIX24,B,$79.99,10% Off,THESLICE,Hybrid,Control,High,Medium,Very High,Raw Carbon Fiber,16,5.50,4.125,8.10,https://shorturl.at/ouGU7,No,
CRBN 1 Original(16 mm),CRBN,B,$179.99,10% Off,THESLICE,Elongated,Control,High,Medium,Very High,Raw Carbon Fiber,16,5.50,4.25,7.95,https://bit.ly/48kgPwY,No,https://theslicepickleball.com/crbn-control-series-pickleball-paddle-review/
CRBN 2 Original Series (16 mm),CRBN,A,$179.99,10% Off,THESLICE,Wide Body,Control,High,Medium,Very High,Raw Carbon Fiber,16,4.75,4.25,7.95,https://bit.ly/44Ziqph,No,https://theslicepickleball.com/crbn-control-series-pickleball-paddle-review/
CRBN 1X Power Series (14 mm),CRBN,A,$229.99,10% Off,THESLICE,Elongated,Power,Very High,Very High,Low,Raw Carbon Fiber,14,5.50,4.25,7.95,https://bit.ly/48gVkwZ,No,https://theslicepickleball.com/crbn-power-series-pickleball-paddle-review/
CRBN 1X Power Series (16 mm),CRBN,A,$229.99,10% Off,THESLICE,Elongated,All Arounder,High,Very High,Medium,Raw Carbon Fiber,16,5.50,4.25,7.95,https://bit.ly/48gVkwZ,No,https://theslicepickleball.com/crbn-power-series-pickleball-paddle-review/
CRBN 2X Power Series (14 mm),CRBN,B,$229.99,10% Off,THESLICE,Wide Body,Power,Very High,Very High,Low,Raw Carbon Fiber,14,4.75,4.125,7.95,https://bit.ly/3Rtj9Mk,No,https://theslicepickleball.com/crbn-power-series-pickleball-paddle-review/
CRBN 2X Power Series (16 mm),CRBN,B,$229.99,10% Off,THESLICE,Wide Body,All Arounder,Very High,Very High,Medium,Raw Carbon Fiber,16,4.75,4.125,7.95,https://bit.ly/3Rtj9Mk,No,https://theslicepickleball.com/crbn-power-series-pickleball-paddle-review/
CRBN 3X Power Series (14 mm),CRBN,A,$229.99,10% Off,THESLICE,Hybrid,Power,Very High,Very High,Low,Raw Carbon Fiber,14,5.25,4.25,7.95,https://bit.ly/48gV3Kt,No,https://theslicepickleball.com/crbn-power-series-pickleball-paddle-review/
CRBN 3X Power Series (16 mm),CRBN,A,$229.99,10% Off,THESLICE,Hybrid,All Arounder,Very High,Very High,Low,Raw Carbon Fiber,16,5.25,4.25,7.95,https://bit.ly/48gV3Kt,No,https://theslicepickleball.com/crbn-power-series-pickleball-paddle-review/
ProXR Test,,,,10% Off,THIS LINK,,,,,,,,,,,,No,
